t_sec,pack_num,marker,ch1,ch2,ch3,ch4
0.613966,8,0,0.1889325919044152,0.1784585282736653,0.3107589261943362,0.34123659789348987
0.613966,9,0,0.18891041897303446,0.17849796271291662,0.3107675092645481,0.34124370276827637
0.613966,10,0,0.18888466976239876,0.17847202276738733,0.31073780230487025,0.3412147587481729
0.613966,11,0,0.1888556780585719,0.1784068868012237,0.31067271402243,0.34115162549839206
0.613966,12,0,0.18884804866282798,0.17839458440058664,0.31064815690487935,0.3411184376269061
0.613966,13,0,0.1888381781320843,0.17842834447675346,0.3106576936495592,0.3411230629480758
0.613966,14,0,0.188814383954108,0.17841012929441485,0.31063518693211467,0.3410998409747803
0.613966,15,0,0.1887876810690043,0.17834356281654926,0.310576011431376,0.3410386627576588
0.64398,16,0,0.18877409120783545,0.17831962558740272,0.310543538815741,0.3409989422160671
0.64398,17,0,0.18877313753336747,0.17835400555197373,0.31056099105850515,0.34100385363957725
0.64398,18,0,0.18875940462102844,0.17835076305878256,0.3105554120628674,0.34099360163904635
0.64398,19,0,0.18873389382900974,0.1782886788509165,0.31049428152946934,0.3409392898780944
0.64398,20,0,0.18872464318667023,0.17826850863591853,0.3104525582714948,0.34089122468490773
0.64398,21,0,0.18872655053560622,0.17830694171697847,0.3104695813607484,0.3408960884246945
0.64398,22,0,0.1887193026096495,0.1783205315781473,0.31047935652404535,0.3409001415411835
0.64398,23,0,0.18868287224497235,0.17825262995602653,0.31041855977671107,0.34084306412427434
0.673921,24,0,0.18864453453135918,0.17819045038071366,0.3103528516058666,0.3407799785582169
0.673921,25,0,0.18864734787103976,0.17821639032624295,0.31035714314097257,0.3407773559534299
0.673921,26,0,0.18864353317316782,0.1782372281133685,0.3103686826020352,0.3407773559534299
0.673921,27,0,0.18861530440891533,0.17818630189677792,0.31031685039470003,0.3407328193557748
0.673921,28,0,0.18857954161636575,0.17812569588433722,0.3102375523626868,0.340666348245356
0.673921,29,0,0.18856294768062276,0.17813232392188974,0.3102333085113042,0.34064517667216665
0.673921,30,0,0.18856447355977154,0.178162316983908,0.3102631585221523,0.3406593387380163
0.673921,31,0,0.18854306356796519,0.17812397927029486,0.3102336899810914,0.34063096692259365
0.703462,32,0,0.18852246419945665,0.17806399314625834,0.31017975968992667,0.3405744617103653
0.703462,33,0,0.1885162653154147,0.17807310073742766,0.31016655129854503,0.34055567432334594
0.703462,34,0,0.18849332944445957,0.17809808700848895,0.310165597624077,0.3405601565933455
0.703462,35,0,0.18847172871775963,0.17807038276519388,0.31012673538950647,0.3405261580985617
0.703462,36,0,0.1884502233585065,0.17801073042722118,0.3100683705120656,0.34046922373282273
0.703462,37,0,0.1884412588185074,0.1780022904081795,0.31005582969281154,0.34045024561090975
0.703462,38,0,0.18843601360893344,0.17804100959157984,0.31007990997312823,0.340465075248887
0.703462,39,0,0.1884158910776589,0.17802894560955976,0.3100668923166402,0.34045224832729254
0.733866,40,0,0.188390714071704,0.17796466795041732,0.3100117222486671,0.3403976027802768
0.733866,41,0,0.1883735002475568,0.17793753591180306,0.3099742428420751,0.3403554980525151
0.733866,42,0,0.18836148394926014,0.17795956579201358,0.3099846855774996,0.340348202442835
0.733866,43,0,0.1883322538268163,0.1779424473353132,0.3099677101719694,0.3403237883764545
0.733866,44,0,0.18830125940660666,0.17788045849489392,0.30990934529452846,0.34027577086699123
0.733866,45,0,0.1882802785683109,0.17784350360925935,0.30986128010134184,0.3402285639808258
0.733866,46,0,0.188270264986397,0.17786868061521427,0.3098736778694257,0.34022975607391076
0.733866,47,0,0.1882459462874633,0.1778647228661721,0.3098696247529367,0.3402207915339117
0.763874,48,0,0.18821685921618966,0.17780249560713585,0.3098158851966656,0.34017253560583144
0.763874,49,0,0.1881946386010855,0.1777567192326724,0.30975837862624583,0.3401184622634965
0.763874,50,0,0.18818419586566104,0.17778017962458492,0.30976410067305377,0.3401076380582848
0.763874,51,0,0.18816621910193945,0.1777876182854352,0.30976758158486195,0.34010420483020004
0.763874,52,0,0.18813856254236777,0.17773316347331308,0.30971584474497355,0.34006186168382135
0.763874,53,0,0.18811467299694465,0.17768443070799886,0.3096576706024262,0.34000635782978444
0.763874,54,0,0.18809760222396765,0.1776885315082112,0.30965032730902275,0.3399896685265946
0.763874,55,0,0.18807147154354478,0.17771237336991091,0.3096516147695545,0.3399826590192549
0.808671,56,0,0.1880340398206762,0.17766435586044768,0.3096020713809425,0.3399334017329833
0.808671,57,0,0.18799045689748914,0.17759297332651872,0.30953025969350295,0.3398634020270329
0.808671,58,0,0.18798072941791563,0.17758949241471056,0.3095172420370149,0.33984423317022633
0.808671,59,0,0.18796046383547088,0.17761824569992044,0.309526921832865,0.33984223045384354
0.808671,60,0,0.18793533451323938,0.17754099806801335,0.30949044378446444,0.33979478514906114
0.808671,61,0,0.18789718753451984,0.17742937047153526,0.3094295039859599,0.3397413316951304
0.808671,62,0,0.18786213999782125,0.1774281783784503,0.30939998776117567,0.33971496259609046
0.808671,63,0,0.18785446291835395,0.17746589620365924,0.309410525864047,0.33971639310779245
0.83913,64,0,0.1878323376706966,0.17740343052600596,0.3093913570072404,0.33969107305066737
0.83913,65,0,0.18780458574367812,0.1773497386534582,0.3093262687248002,0.33963676128971537
0.83913,66,0,0.18780348901803995,0.17735383945367056,0.3093055739888448,0.3396122041721647
0.83913,67,0,0.18781369333484743,0.17739398914877288,0.30933566241830984,0.33962507877748255
0.83913,68,0,0.1877813637703826,0.17737667995717887,0.30932731776671496,0.3396063390741866
0.83913,69,0,0.1877223313208141,0.1772901339992089,0.30925140527906303,0.339533096875045
0.83913,70,0,0.1876959622217742,0.1772568984439995,0.30919990685779164,0.33948708208196454
0.83913,71,0,0.18769968155219938,0.177298621701974,0.30922532228236355,0.33950372370143095
0.86909,72,0,0.18768213394198838,0.17730172114399498,0.30923633722246885,0.3395078245016433
0.86909,73,0,0.18764823081465137,0.17722800210761944,0.30919141915502657,0.3394497934102662
0.86909,74,0,0.18761523367805896,0.17717016175113592,0.30913286354269204,0.3393920007375061
0.86909,75,0,0.1876045048402941,0.17718747094272994,0.3091269984447139,0.3393885675094213
0.86909,76,0,0.18760030867263494,0.17721136048815303,0.3091444506874781,0.33940144211473916
0.86909,77,0,0.18758376242061534,0.1771715922628379,0.3091083541088647,0.33937187820623155
0.86909,78,0,0.18756893278263811,0.17712557746975746,0.3090603365994015,0.33932600646432126
0.86909,79,0,0.18755791784253284,0.1771368785122031,0.3090617194273801,0.339315706780067
0.899861,80,0,0.18754790426061896,0.17716052963900925,0.3090805544981229,0.3393247666875129
0.899861,81,0,0.1875193417103027,0.17711589767390737,0.3090453162265307,0.3392912450299631
0.899861,82,0,0.18748787045285908,0.17704980803327575,0.3089826598139838,0.33923578885964956
0.899861,83,0,0.1874778091872218,0.17705624533593467,0.30897164487387857,0.33922057775188513
0.899861,84,0,0.18747122883339268,0.17708342505827235,0.3089928641307913,0.3392324033152882
0.899861,85,0,0.18745706676754303,0.17706010771753003,0.3089747443158995,0.33921676305401316
0.899861,86,0,0.18743284343605612,0.17700078916562112,0.308915950284948,0.3391675057677416
0.899861,87,0,0.18739874957382552,0.17697546910849604,0.3088739886083565,0.33912559177487345
0.928909,88,0,0.1873828232102101,0.17699497175136641,0.3088653578544212,0.33912287380263967
0.928909,89,0,0.1873684227257435,0.17697074841987948,0.3088401331647429,0.3391081395321093
0.928909,90,0,0.1873501121759581,0.17690771053754542,0.3088010325115554,0.33905635500849746
0.928909,91,0,0.1873174965091529,0.17688839862956865,0.30875930925358086,0.3390205922159479
0.928909,92,0,0.18730681535511143,0.17691200207265137,0.30876093050017644,0.33902331018818166
0.928909,93,0,0.187273579799902,0.17689717243467415,0.30874195237826346,0.33900409364765166
0.928909,94,0,0.18723281021639548,0.17682707736127698,0.3086867346265669,0.3389438691049982
0.928909,95,0,0.1872151672387377,0.17678106256819653,0.3086555494714637,0.33889909408872615
0.958662,96,0,0.18720896835469578,0.17680380770425808,0.3086666120952924,0.3389024796330875
0.958662,97,0,0.18719199294916558,0.17679593988989717,0.3086643232765692,0.3389000954469175
0.958662,98,0,0.18714974517023367,0.17672665543979776,0.30859470504040604,0.33883824965766846
0.958662,99,0,0.18711121672172693,0.1766807836978875,0.3085261358461576,0.33877039571927103
0.958662,100,0,0.18709495657204772,0.17674038835213682,0.30852565900892365,0.3387617649653357
0.958662,101,0,0.18708198659928307,0.1766828817817171,0.3085379137258373,0.33875032087171986
0.958662,102,0,0.18704951398364805,0.17660139029842745,0.30849933759360715,0.33871293683257475
0.958662,103,0,0.18701627842843865,0.1765560430774746,0.30844235554414484,0.3386634411276861
0.988872,104,0,0.18700636021397157,0.17657626097619594,0.30844082966499603,0.3386541428016232
0.988872,105,0,0.18699024311546256,0.17659075682810937,0.3084433569023362,0.3386530937597084
0.988872,106,0,0.18694947353195604,0.17653339330885987,0.30839595928127717,0.33860421794322404
0.988872,107,0,0.18691442599525745,0.17646568242163266,0.30832061899830604,0.33854041712131555
0.988872,108,0,0.18690121760387582,0.17646544400301567,0.30831442011426413,0.3385209621621686
0.988872,109,0,0.186884766719303,0.1764789384967377,0.30833673609681506,0.33852015153887083
0.988872,110,0,0.18685024370356182,0.17643731060620998,0.30830459726724385,0.33849678651440507
0.988872,111,0,0.18682067979505418,0.1763781827891947,0.30824580323629236,0.3384373725950494
1.033662,112,0,0.18678792107707876,0.17635133685292081,0.3082213414861884,0.33839874877909587
1.033662,113,0,0.18676241028506005,0.1763686937282382,0.30822310578395423,0.3384047569282442
1.033662,114,0,0.18673656570697755,0.17634075106632613,0.30817198883247,0.3383885444622884
1.033662,115,0,0.18670533286815094,0.17626693666250381,0.3081079019082212,0.3383282722359115
1.033662,116,0,0.18669808494219423,0.1762610715645257,0.3081033242707748,0.3383071960301689
1.033662,117,0,0.18670414077506595,0.17630622805058496,0.30815258155704645,0.3383397640132507
1.033662,118,0,0.1866904555464503,0.17629545152909668,0.3081627381901305,0.33833728445963396
1.033662,119,0,0.18665421591666673,0.17622869431633748,0.30810198912651965,0.3382756294052785
1.063739,120,0,0.18663952932985972,0.17622301995325293,0.3080662740176935,0.3382398189290055
1.063739,121,0,0.18663323507837098,0.17630603731569136,0.3080881608467338,0.33826199186038625
1.063739,122,0,0.1866159735705004,0.17629831255250064,0.30809102187013776,0.3382606090324077
1.063739,123,0,0.18660824880730967,0.1761577886196425,0.30805430540312023,0.33821869503953955
1.063739,124,0,0.1866063414583737,0.17611816344549758,0.3080124390939755,0.3381835521353942
1.063739,125,0,0.18661339864943682,0.17615454612645134,0.3080227387782298,0.3381933749824145
1.063739,126,0,0.1866071043979481,0.1761746686577259,0.308038760509292,0.3382047713923069
1.063739,127,0,0.1865737257915685,0.17612703261804988,0.30800042279567885,0.33816815029273617
1.093733,128,0,0.1865398226642315,0.17608564314613917,0.3079446328393015,0.3381205619367835
1.093733,129,0,0.18653171643125357,0.17610500273783933,0.30794959194653504,0.33811936984369856
1.093733,130,0,0.1865311442265728,0.1761408608978357,0.3079743874827027,0.3381413997239091
1.093733,131,0,0.18649881466210796,0.1760828298064586,0.30792951709898386,0.3381003917217856
1.093733,132,0,0.1864639101765796,0.17600868161657246,0.30785880213718253,0.338034302081154
1.093733,133,0,0.18645499332030388,0.17601683553327377,0.30784773951335387,0.3380291522390268
1.093733,134,0,0.18644168956147544,0.17603819784135671,0.3078633320909055,0.338032871569452
1.093733,135,0,0.18642175776509448,0.17600872930029587,0.3078386319221846,0.33800645478668867
1.16872,136,0,0.18640111071286253,0.17594860012508917,0.3077775967562333,0.3379582942260553
1.16872,137,0,0.18638947588435306,0.17594459469232362,0.3077592385227245,0.33794174797403564
1.16872,138,0,0.18638203722350274,0.17597558911253325,0.30778079156570104,0.33795858032839565
1.16872,139,0,0.18635972124095182,0.17594817097157858,0.30777902726793527,0.33793593055978094
1.16872,140,0,0.18631871323882832,0.17587559634456465,0.30772090080911135,0.33787465697521263
1.16872,141,0,0.18630512337765948,0.17584817820360996,0.3076908600633697,0.3378499568064917
1.16872,142,0,0.1862847624277679,0.17586710864179955,0.3077091706131551,0.33785553580212946
1.16872,143,0,0.18625400642617526,0.1758456032825464,0.3076907170121995,0.337841755206067
1.228755,144,0,0.1862091837261798,0.17577078752053268,0.30762462737156787,0.3377702773046913
1.228755,145,0,0.1861926374741602,0.17573769501649347,0.30757660986210467,0.3377278864745892
1.228755,146,0,0.18618343451554412,0.17575929574319343,0.3075823319089126,0.3377368986983117
1.228755,147,0,0.18614447691352676,0.17574718407744996,0.3075753700852963,0.33772369030693
1.228755,148,0,0.18610056020427587,0.1756694119245855,0.30750513196072893,0.3376679480342761
1.228755,149,0,0.18608077145906513,0.17562268187565402,0.307447720757756,0.33761916758523847
1.228755,150,0,0.1860656080350241,0.17564113547660962,0.307444382897118,0.3376081049614098
1.228755,151,0,0.18605177975523826,0.17564757277926854,0.3074467193995646,0.3376049578356654
1.229278,152,0,0.18601697063715666,0.1755984585441671,0.30739188311765525,0.3375673830616267
1.229278,153,0,0.18597930049567113,0.1755412380760878,0.3073195945929817,0.3375150263333341
1.229278,154,0,0.18597500896056518,0.1755508701882145,0.3073172104068117,0.3375075876724838
1.229278,155,0,0.18597152804875702,0.17556689191927669,0.30732903597021477,0.33751936555216344
1.229278,156,0,0.1859564123084394,0.1755153934980053,0.30729136582872923,0.3374869883039752
1.229278,157,0,0.18591673945057105,0.17545311855524565,0.3072293293045866,0.33742662071015156
1.229278,158,0,0.1858639535687679,0.17546871113279724,0.30721016044778,0.3373963415457929
1.229278,159,0,0.18585141274951383,0.17549374508758195,0.30723328705362873,0.33740907309994056
1.23035,160,0,0.1858303365437713,0.17541749881386626,0.30721278305256694,0.33739109633621894
1.23035,161,0,0.18579595657920028,0.17530177041717585,0.30716357345001877,0.33731508848112024
1.23035,162,0,0.18577583404792572,0.17531168863164293,0.3071493637004457,0.33728466626559145
1.23035,163,0,0.18576453300548007,0.175373296002275,0.30718488807437827,0.33730183240601525
1.23035,164,0,0.1857350644644192,0.17534544870780971,0.30718026275320853,0.3372847616330382
1.23035,165,0,0.18569429488091269,0.17528493806281584,0.3071175109732149,0.3372285902068737
1.23035,166,0,0.18567083448900018,0.1752472202376069,0.30708203428300573,0.33719058627932436
1.23035,167,0,0.18567426771708492,0.1752610962011161,0.30710244291662064,0.3372007429124084
1.288756,168,0,0.1856586274558099,0.17521670265463124,0.30709242933470676,0.33718906040017554
1.288756,169,0,0.18563144773347223,0.17513473433410762,0.30703067891290453,0.3371334134949684
1.288756,170,0,0.1856262502076217,0.17511303823996086,0.306985856212909,0.3371060907214605
1.288756,171,0,0.18561523526751642,0.17515824240974354,0.3070142280283317,0.3371190606942252
1.288756,172,0,0.18558457463337058,0.17515514296772255,0.3070136081399275,0.3371161519870978
1.288756,173,0,0.18555477230624595,0.1750932018110267,0.30697584263099514,0.3370755254547615
1.288756,174,0,0.18553670017507756,0.1750500957250736,0.30694956889940206,0.3370275079452983
1.288756,175,0,0.18552768795135507,0.1750749389449647,0.30696330181174114,0.3370259820661495
1.289264,176,0,0.18550947276901647,0.1750920574016651,0.3069627772907837,0.3370337545130636
